symbol,side,entry_time,entry_price,exit_time,exit_price,quantity,pnl_gross,pnl_net,fees_total,bars_held,exit_reason
ARB,buy,2026-02-27 05:00:00+00:00,0.10315342060191689,2026-02-27 07:00:00+00:00,0.10727592936862182,4738.21599522129,19.533336978841305,19.184365735639194,0.34897124320211287,101,take_profit
ARB,buy,2026-02-27 08:00:00+00:00,0.10718444535724604,2026-02-27 08:00:00+00:00,0.11146710814983815,7133.284743297349,30.549453159084518,30.003556159071234,0.5458970000132833,209,take_profit
AVAX,buy,2026-02-27 07:00:00+00:00,9.415218915857048,2026-02-27 10:00:00+00:00,9.226605125439871,54.1654773178364,-10.21635598667276,-10.56976596054651,0.3534099738737507,102,stop_loss
SOL,buy,2026-02-27 08:00:00+00:00,87.26996837938806,2026-02-27 10:00:00+00:00,85.52168909010736,5.892589089350059,-10.301891465152144,-10.658257865153859,0.35636640000171427,101,stop_loss
ARB,buy,2026-02-27 09:00:00+00:00,0.11139510047457421,2026-02-27 10:00:00+00:00,0.10916224989723697,8365.656804361484,-18.679261625423766,-19.32504866525538,0.6457870398316139,100,stop_loss
DOGE,sell,2026-02-27 07:00:00+00:00,0.0988367191950596,2026-02-27 11:00:00+00:00,0.09488633621206177,4954.274802108872,19.5712828713458,19.235367494984764,0.33591537636103547,103,take_profit
ARB,buy,2026-02-27 11:00:00+00:00,0.10809484491750372,2026-02-27 11:00:00+00:00,0.10592824740397083,8261.020587148236,-17.898306663359374,-18.51712345625731,0.6188167928979347,212,stop_loss
SOL,buy,2026-02-27 11:00:00+00:00,84.67123600404483,2026-02-27 12:00:00+00:00,82.97467169302583,7.667922063357943,-13.00912291236828,-13.459046167679126,0.4499232553108472,100,stop_loss
AVAX,buy,2026-02-27 11:00:00+00:00,9.097558724443479,2026-02-27 16:00:00+00:00,8.915259512670143,75.96546399363157,-13.848444208034719,-14.327367157210821,0.4789229491761021,104,stop_loss
LINK,sell,2026-02-27 12:00:00+00:00,8.840841335307006,2026-02-28 06:00:00+00:00,8.487545022832956,82.72963159735365,29.228073775681732,28.726323301389566,0.5017504742921662,117,take_profit
SOL,sell,2026-02-27 13:00:00+00:00,83.04997148393751,2026-02-28 06:00:00+00:00,79.73176158745818,12.590008417777762,41.77629052862825,41.05899128666618,0.7172992419620761,116,take_profit
ARB,sell,2026-02-28 00:00:00+00:00,0.10029585600150316,2026-02-28 06:00:00+00:00,0.09628791938169508,7564.040773814606,30.31619601109303,29.795756666463625,0.5204393446294044,105,take_profit
DOGE,sell,2026-02-28 00:00:00+00:00,0.09329351074048561,2026-02-28 06:00:00+00:00,0.08956505213841952,6663.1714380980875,24.84335886541793,24.416912097978543,0.4264467674393857,105,take_profit
AVAX,sell,2026-02-28 00:00:00+00:00,8.945266041137142,2026-02-28 06:00:00+00:00,8.587769504964154,69.24286106984512,24.75408298717707,24.329169365472158,0.42491362170491453,105,take_profit
DOGE,sell,2026-02-28 07:00:00+00:00,0.08855791836257977,2026-02-28 07:00:00+00:00,0.09033328113591899,10659.67786695172,-18.92479526077405,-19.592217698698303,0.6674224379242508,232,stop_loss
